"1","ЧЛ","Частное лицо",
"2","Школа 167","МБОУ ""СОШ №167""",
"3","Школа 169","МБОУ ""СОШ №169""",
"4","Школа 172","МБОУ ""СОШ №172""",
"5","Школа 174","МБОУ ""Лицей №174""",
"6","Школа 175","МБОУ ""СОШ №175""",
"7","Школа 161","МБОУ ""СОШ №161""",
"8","Заказчик","МКУ Заказчик",
"9","Нептун","СК Нептун",
"10","Волна","СК Волна Олимп",
"11","ЗГДК","МБУК ""ЗГДК""",
"12","Архив","Архив Города",
"13","Ультра","Суворова Милана",
"14","КООС","МКУ КООС",
"15","ДЮСШ","МБУ СШ им. Д.Ф. Кудрина",
"16","ЦУГЗ","МКУ ЦУГЗ",
"17","Дет. Сад 10","МБДОУ детский сад №10",
"18","Дет. Сад 23","МБДОУ детский сад №23",
"19","Дет. Сад 21","МБДОУ детский сад №21",
"20","Дет. Сад 27","МБДОУ детский сад №27",
"21","Дет. Сад 18","МБДОУ детский сад №18",
"22","Формика","Формика",
"23","СТАРТ","МБУ СШОР ""СТАРТ""",
"24","Счётная палата","Счётная палата",
"25","Пилигрим","ООО ""Пилигрим""",
"26","Модуль реклама","ООО ""Модуль""",
"27","Дет. Сад 6","МБДОУ детский сад №6",
"28","Дет. Сад 16","МБДОУ детский сад №16",
"29","Музыкалка","МБУ ДО ДМШ",
"30","Гефест","ООО ""Гефест""",
"31","Детский дом","КГКУ ""ЗЕЛЕНОГОРСКИЙ ДЕТСКИЙ ДОМ""",
"32","ДКИОР","КГАПОУ ""ДКИОР""",
